Gender,Age,Married,Number of Dependents,City_0,City_1,City_2,City_3,City_4,City_5,City_6,City_7,City_8,City_9,City_10,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type_0,Internet Type_1,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Customer Status,# Streaming Services_0,# Streaming Services_1,# Streaming Services_2,# Streaming Services_3
0,25,1,2,0,0,0,0,0,0,0,1,1,0,0,2,72,1,1,1,1,0,59.0,1,1,1,1,1,1,3,8456.75,0.0,0,1152.72,0,0,1,0,1
0,58,1,0,0,0,0,0,0,0,0,1,1,0,1,0,5,1,0,1,1,0,10.0,0,0,0,0,0,1,1,351.5,0.0,0,93.25,0,0,0,1,1
0,32,0,0,0,0,0,0,0,0,0,1,1,1,0,0,72,1,1,1,1,0,16.0,1,0,1,0,0,1,3,7261.25,0.0,0,162.0,0,0,0,0,1
0,39,0,0,0,0,0,0,0,0,0,1,1,1,1,0,56,0,0,1,1,1,19.0,1,1,0,0,0,1,3,2560.1,0.0,0,0.0,0,0,0,1,1
0,58,1,2,0,0,0,0,0,0,1,0,0,0,0,9,71,1,1,1,1,0,12.0,1,0,0,1,1,1,3,6849.4,0.0,0,1935.46,0,0,0,1,0
0,52,1,1,0,0,0,0,0,0,1,0,0,0,1,0,34,0,0,1,1,1,20.0,1,1,1,1,1,1,2,1993.2,0.0,0,0.0,0,0,1,0,1
0,72,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,22.0,0,0,0,0,0,1,2,72.1,0.0,0,7.77,0,0,0,1,1
1,79,0,0,0,0,0,0,0,0,1,0,0,1,1,0,45,1,0,1,1,1,17.0,1,0,0,1,0,1,2,2791.5,0.0,0,480.15,1,0,1,1,0
1,67,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,9.0,0,0,0,0,0,1,1,25.1,0.0,0,0.0,1,0,0,1,1
0,79,1,0,0,0,0,0,0,0,1,0,1,0,1,0,50,1,1,0,1,0,21.0,0,0,0,0,0,1,2,1306.3,0.0,0,1571.5,0,0,0,1,1
0,26,1,0,0,0,0,0,0,0,1,0,1,1,0,1,13,1,1,1,1,0,52.0,1,0,1,0,0,1,1,1215.6,0.0,0,566.28,1,0,0,0,1
0,30,1,2,0,0,0,0,0,0,1,0,1,1,1,1,23,1,1,1,1,0,30.0,0,0,1,0,0,1,1,1849.95,0.0,0,802.93,0,0,0,0,1
0,22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,1,0,21.0,0,0,0,0,0,1,1,57.2,0.0,0,9.36,0,0,0,1,1
0,34,1,0,0,0,0,0,0,0,1,1,0,0,1,0,4,1,0,0,1,0,21.0,0,0,0,0,0,1,1,76.35,0.0,0,49.72,1,0,0,1,1
0,37,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,19.0,0,0,0,0,0,1,1,30.5,0.0,0,0.0,1,0,0,1,1
0,37,1,3,0,0,0,0,0,0,1,1,0,1,1,10,55,1,0,1,1,0,57.0,1,1,1,1,1,0,2,5656.75,0.0,20,1927.2,0,0,1,0,1
1,42,1,3,0,0,0,0,0,0,1,1,1,0,0,3,54,1,0,0,1,0,21.0,0,0,0,0,0,1,3,1090.6,0.0,0,1063.8,0,0,0,1,1
1,64,0,0,0,0,0,0,0,0,1,1,1,0,1,0,26,1,0,0,1,0,21.0,0,0,0,0,0,1,2,471.85,21.25,0,980.2,0,0,0,1,1
0,47,1,3,0,0,0,0,0,0,1,1,1,1,0,5,69,1,0,0,1,0,21.0,0,0,0,0,0,1,3,1396.9,0.0,0,2648.91,0,0,0,1,1
1,23,1,3,0,0,0,0,0,0,1,1,1,1,1,1,37,1,0,1,1,0,51.0,0,0,1,1,1,1,2,3247.55,0.0,0,1591.37,0,0,1,0,1
0,48,1,0,0,0,0,0,0,1,0,0,0,0,0,5,49,1,0,0,1,0,21.0,0,0,0,0,0,1,2,900.9,0.0,0,2429.42,0,0,0,1,1
1,28,1,0,0,0,0,0,0,1,0,0,0,0,0,9,66,1,1,1,1,0,41.0,1,1,1,1,1,1,2,7942.15,0.0,0,2888.82,0,0,1,0,1
0,28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,67,1,0,0,1,0,21.0,0,0,0,0,0,1,2,1343.4,30.53,0,1549.04,0,0,0,1,1
1,33,1,1,0,0,0,0,0,1,0,0,0,1,0,4,20,0,0,1,0,1,22.0,1,1,0,0,0,1,3,825.4,0.0,0,0.0,0,0,0,1,1
0,31,0,3,0,0,0,0,0,1,0,0,0,1,1,0,43,1,1,0,1,0,21.0,0,0,0,0,0,1,3,1070.15,0.0,0,1317.52,0,0,0,1,1
0,37,1,0,0,0,0,0,0,1,0,0,1,0,0,2,55,1,1,1,1,0,9.0,0,0,1,0,0,1,1,4959.6,0.0,0,279.4,0,0,0,0,1
0,60,1,0,0,0,0,0,0,1,0,0,0,0,0,4,59,1,1,1,1,0,14.0,0,0,1,0,0,1,1,5597.65,0.0,0,967.01,0,0,0,0,1
0,48,1,3,0,0,0,0,0,1,0,0,1,0,1,3,12,1,0,0,1,0,21.0,0,0,0,0,0,1,3,224.5,0.0,0,231.36,0,0,0,1,1
1,60,1,3,0,0,0,0,0,1,0,0,1,1,0,7,27,1,1,1,1,0,23.0,0,0,0,0,0,1,1,1929.0,0.0,0,682.02,0,0,0,1,1
1,69,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,1,0,1,1,1,27.0,0,0,0,0,0,1,1,91.1,0.0,0,87.98,1,0,0,1,1
0,20,0,0,0,0,0,0,0,1,0,1,0,0,0,0,27,1,0,1,1,1,59.0,1,1,1,1,1,1,2,2078.95,0.0,0,1320.57,0,0,1,0,1
1,31,1,3,0,0,0,0,0,1,0,1,0,0,1,1,25,1,1,0,1,0,21.0,0,0,0,0,0,1,3,630.6,44.42,0,592.25,0,0,0,1,1
1,46,1,0,0,0,0,0,0,1,0,1,0,1,0,5,25,1,0,1,0,1,19.0,1,0,0,0,0,1,2,1611.0,44.9,0,161.25,0,0,0,1,1
1,57,0,1,0,0,0,0,0,1,0,1,0,1,1,0,29,0,0,1,1,1,21.0,1,1,0,0,0,1,1,1242.45,12.26,0,0.0,0,0,0,1,1
1,19,1,0,0,0,0,0,0,1,0,1,1,0,0,5,72,1,1,1,1,1,52.0,1,1,1,1,1,1,3,6316.2,0.0,0,2329.92,0,0,1,0,1
0,64,0,0,0,0,0,0,0,1,0,1,1,0,1,0,14,1,0,1,0,1,12.0,0,0,0,0,0,1,2,727.85,0.0,0,336.56,0,0,0,1,1
0,38,0,0,0,0,0,0,0,1,0,1,1,1,0,0,35,1,0,1,1,0,2.0,1,1,1,1,1,1,2,3532.0,0.0,0,1274.7,0,0,1,0,1
1,54,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,9.0,0,0,0,0,0,1,1,44.3,0.0,0,42.95,0,0,0,1,1
1,50,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29,1,0,1,1,0,17.0,0,1,1,1,1,0,1,2607.6,0.0,20,59.45,0,0,1,0,1
1,25,0,0,0,0,0,0,0,1,1,0,0,0,1,0,64,1,1,1,1,1,69.0,1,1,1,0,0,0,2,5567.55,0.0,40,351.36,0,0,0,0,1
0,35,1,3,0,0,0,0,0,1,1,0,0,1,0,1,39,1,1,1,1,0,53.0,0,1,1,1,1,1,1,3767.4,0.0,0,950.82,0,0,1,0,1
0,72,0,0,0,0,0,0,0,1,1,0,0,1,1,0,40,1,0,1,1,0,23.0,0,0,1,1,0,1,3,3673.6,0.0,0,1765.6,0,0,1,0,0
1,51,0,0,0,0,0,0,0,1,1,0,1,0,0,0,40,1,1,1,1,0,15.0,1,0,1,1,1,1,1,4036.85,0.0,0,1507.6,1,0,1,0,1
0,78,0,1,0,0,0,0,0,1,1,0,1,0,1,0,11,1,0,1,1,0,29.0,0,0,1,1,0,0,1,1120.3,0.0,120,127.49,1,0,1,0,0
0,30,1,0,0,0,0,0,0,1,1,0,1,1,0,10,6,1,1,1,0,1,85.0,0,0,0,0,0,1,1,314.55,0.0,0,255.96,0,0,0,1,1
1,58,0,0,0,0,0,0,0,1,0,1,0,0,1,0,30,1,1,1,1,1,15.0,0,0,0,1,1,1,1,1888.45,0.0,0,79.2,0,0,0,1,0
1,26,0,0,0,0,0,0,0,1,0,1,0,1,0,0,27,1,0,0,1,0,21.0,0,0,0,0,0,1,1,529.8,0.0,0,557.82,0,0,0,1,1
1,66,1,0,0,0,0,0,0,1,1,0,1,1,1,3,70,1,1,1,1,0,28.0,1,0,1,1,0,1,2,7308.95,6.11,0,2764.3,0,0,1,0,0
0,20,1,0,0,0,0,0,0,0,1,1,1,0,0,10,57,1,1,1,1,0,73.0,1,1,1,1,1,1,2,6252.7,0.0,0,456.57,0,0,1,0,1
1,61,1,0,0,0,0,0,0,1,0,0,1,1,1,10,58,1,0,1,1,1,18.0,1,0,0,0,0,1,2,2878.55,10.23,0,1065.46,0,0,0,1,1
1,24,0,0,0,0,0,0,0,1,1,1,0,0,0,0,16,1,1,1,1,1,48.0,1,0,0,1,1,1,1,1212.1,0.0,0,411.36,0,0,0,1,0
0,55,1,0,0,0,0,0,0,1,1,1,0,0,1,3,69,1,1,1,1,0,27.0,1,1,1,1,1,1,3,8182.85,0.0,0,2657.88,0,0,1,0,1
1,32,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,21.0,0,0,0,0,0,1,1,19.85,0.0,0,31.77,1,0,0,1,1
1,59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,25.0,1,0,1,1,1,1,1,99.75,0.0,0,40.71,1,0,1,0,1
1,71,1,1,0,0,0,0,0,1,1,1,0,1,1,9,32,1,0,1,1,0,23.0,0,0,1,1,1,1,2,2861.45,0.0,0,1019.52,0,0,1,0,1
1,49,1,2,0,0,0,0,0,1,1,1,1,0,0,8,16,1,1,1,1,0,12.0,1,0,1,0,0,1,1,1442.2,0.0,0,779.36,0,0,0,0,1
1,61,1,0,0,0,0,0,0,1,1,1,1,0,1,1,49,1,1,1,0,1,10.0,1,1,1,1,1,1,2,4059.35,0.0,0,1937.95,1,0,1,0,1
0,40,1,0,0,0,0,0,0,1,1,1,1,1,0,2,71,0,0,1,0,1,29.0,1,1,1,1,1,1,3,4145.9,0.0,0,0.0,0,0,1,0,1
0,39,0,0,0,0,0,0,0,1,1,1,1,1,1,0,33,1,1,1,1,0,12.0,1,0,1,1,1,1,1,3645.5,0.0,0,1639.77,0,0,1,0,1
0,21,1,0,0,0,0,0,1,0,0,0,0,0,0,9,10,1,0,0,1,0,21.0,0,0,0,0,0,1,1,187.75,0.0,0,496.0,0,0,0,1,1
1,24,1,0,0,0,0,0,1,0,0,0,0,0,1,1,21,1,1,1,1,0,59.0,1,1,1,1,1,0,1,2317.1,0.0,120,761.46,1,0,1,0,1
1,52,1,1,0,0,0,0,1,0,0,0,0,1,0,1,37,0,0,1,1,1,23.0,1,0,0,0,0,1,1,1448.8,0.0,0,0.0,1,0,0,1,1
0,71,0,0,0,0,0,0,1,0,0,0,0,1,1,0,26,1,0,1,1,0,7.0,0,0,1,0,0,1,1,2193.65,0.0,0,877.24,0,0,0,0,1
1,45,0,0,0,0,0,0,1,0,0,0,1,0,0,0,50,0,0,1,1,1,7.0,0,1,0,0,0,1,2,1748.9,0.0,0,0.0,0,0,0,1,1
0,29,0,0,0,0,0,0,0,1,0,0,1,1,1,0,7,1,1,1,1,0,26.0,0,0,0,0,1,1,1,511.25,13.03,0,200.34,1,0,1,1,1
0,62,1,0,0,0,0,0,1,0,0,0,1,0,1,1,61,1,1,1,1,1,28.0,1,1,1,1,1,1,3,5526.75,0.0,0,2878.59,0,0,1,0,1
1,42,0,0,0,0,0,0,1,0,0,0,1,1,0,0,15,1,0,1,1,0,12.0,1,1,1,1,1,1,1,1553.95,0.0,0,688.8,1,0,1,0,1
0,51,0,2,0,0,0,0,1,0,0,0,1,1,1,0,26,0,0,1,1,1,19.0,0,1,0,1,1,1,1,1147.0,0.0,0,0.0,0,0,0,1,0
1,39,1,0,0,0,0,0,1,0,0,1,0,0,0,9,72,1,0,1,1,0,23.0,1,0,1,1,1,1,1,6747.35,0.0,0,2391.84,0,0,1,0,1
1,64,1,0,0,0,0,0,1,0,0,1,0,0,1,1,44,1,0,0,1,0,21.0,0,0,0,0,0,1,2,865.05,0.0,0,1205.6,0,0,0,1,1
1,55,0,0,0,0,0,0,1,0,0,1,0,1,0,0,66,1,1,1,1,0,8.0,0,0,0,1,1,0,1,5976.9,36.02,40,3219.48,0,0,0,1,0
0,40,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,1,0,1,1,0,16.0,0,1,0,0,0,1,1,181.65,0.0,0,73.62,1,0,0,1,1
0,76,0,0,0,0,0,0,1,0,0,1,1,0,0,0,44,1,0,1,1,1,17.0,1,1,1,1,1,1,2,3268.05,17.91,0,339.68,0,0,1,0,1
0,57,0,0,0,0,0,0,0,1,0,1,1,0,1,0,12,1,1,1,1,0,6.0,0,0,1,0,0,1,1,1052.4,0.0,0,172.56,1,0,0,0,1
1,71,1,0,0,0,0,0,0,1,0,0,0,0,0,1,69,1,1,1,1,0,17.0,1,1,1,1,0,1,3,7634.25,0.0,0,1270.29,0,0,1,0,0
0,25,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,69.0,0,0,0,0,0,1,1,80.2,0.0,0,1.23,1,0,0,1,1
0,24,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,1,0,21.0,0,0,0,0,0,1,1,63.75,0.0,0,77.25,1,0,0,1,1
0,19,1,0,0,0,0,0,1,0,0,1,1,1,0,10,2,1,0,1,1,0,53.0,0,0,1,0,0,1,1,190.5,0.0,0,9.3,0,0,0,0,1
0,77,0,0,0,0,0,0,1,0,0,1,1,1,1,0,27,1,1,1,1,0,4.0,1,0,0,0,0,1,3,2401.05,0.0,0,80.19,0,0,0,1,1
1,57,0,0,0,0,0,0,1,0,1,0,0,0,0,0,26,1,0,0,1,0,21.0,0,0,0,0,0,1,1,511.25,0.0,0,346.84,0,0,0,1,1
0,73,1,0,0,0,0,0,1,0,1,0,0,0,1,9,39,1,1,1,1,0,21.0,0,1,1,1,1,1,1,3949.15,0.0,0,785.85,0,0,1,0,1
1,41,0,0,0,0,0,0,1,0,1,0,0,1,0,0,25,1,1,1,1,0,8.0,0,0,1,1,1,1,1,2362.1,0.0,0,872.0,1,0,1,0,1
0,43,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,23.0,0,0,0,0,0,1,1,70.9,0.0,0,39.81,1,0,0,1,1
1,48,1,0,0,0,0,0,1,0,1,0,1,0,0,1,22,1,0,1,1,1,21.0,0,1,0,0,0,1,1,1152.7,0.0,0,599.28,1,0,0,1,1
0,56,0,0,0,0,0,0,0,1,0,1,1,1,1,0,72,1,1,1,1,0,5.0,1,1,1,1,1,1,3,8496.7,0.0,0,3482.64,0,0,1,0,1
0,51,0,0,0,0,0,0,1,0,1,0,1,0,1,0,24,1,0,0,1,0,21.0,0,0,0,0,0,1,3,470.2,0.0,0,255.36,0,0,0,1,1
0,34,1,0,0,0,0,0,1,0,1,0,1,1,0,8,19,1,1,1,1,0,16.0,0,0,1,0,0,1,1,1564.4,0.0,0,148.96,0,0,0,0,1
1,21,1,2,0,0,0,0,0,0,1,0,0,1,0,2,71,1,1,0,1,0,21.0,0,0,0,0,0,1,3,1847.55,0.0,0,653.2,0,0,0,1,1
1,78,1,0,0,0,0,0,1,0,1,0,1,1,1,7,33,1,1,1,1,0,20.0,1,1,1,1,0,1,2,3694.7,0.0,0,829.95,0,0,1,0,0
0,60,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,1,0,0,1,0,21.0,0,0,0,0,0,1,1,58.0,0.0,0,8.07,0,0,0,1,1
1,54,1,1,0,0,0,0,1,0,1,1,0,0,1,7,47,1,1,1,1,0,13.0,0,0,1,0,0,1,1,4017.45,0.0,0,51.23,0,0,0,0,1
1,42,1,3,0,0,0,0,0,1,0,0,1,1,1,2,62,1,0,1,1,0,20.0,1,1,1,1,1,1,3,6825.65,0.0,0,109.12,0,0,1,0,1
1,22,0,0,0,0,0,0,1,0,1,1,0,1,0,0,71,1,1,1,1,0,48.0,1,1,1,1,1,1,2,8309.55,0.0,0,204.48,0,0,1,0,1
1,71,1,0,0,0,0,0,1,0,0,0,0,0,1,8,7,1,0,1,1,0,11.0,0,0,1,1,1,1,3,605.45,0.0,0,293.79,0,0,1,0,1
0,56,1,2,0,0,0,0,1,0,1,1,0,1,1,6,27,1,0,1,1,0,28.0,0,0,0,0,0,1,1,1972.35,0.0,0,1259.82,0,0,0,1,1
1,33,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,1,0,0,1,0,21.0,0,0,0,0,0,1,1,33.7,0.0,0,3.62,0,0,0,1,1
0,32,0,3,0,0,0,0,1,0,1,1,1,0,1,0,25,0,0,1,0,1,75.0,0,1,0,0,0,1,3,844.45,0.0,0,0.0,0,0,0,1,1
1,80,0,0,0,0,0,0,1,0,1,1,1,1,0,0,30,1,0,1,1,1,5.0,0,0,1,1,0,1,2,2111.3,0.0,0,1158.3,0,0,1,0,0
0,73,1,0,0,0,0,0,1,0,1,1,1,1,1,1,58,1,0,1,1,0,19.0,0,1,1,1,1,1,2,6205.5,0.0,0,982.52,1,0,1,0,1
1,26,1,0,0,0,0,0,1,1,0,0,0,0,0,1,10,1,1,1,1,0,82.0,0,0,0,1,1,0,1,855.3,0.0,100,20.2,1,0,0,1,0
0,59,0,0,0,0,0,0,1,1,0,0,0,0,1,0,9,1,1,1,1,0,28.0,0,0,0,0,0,1,1,633.85,0.0,0,83.43,0,0,0,1,1
0,78,1,0,0,0,0,0,1,1,0,0,0,1,0,1,6,1,1,1,1,0,17.0,0,0,0,1,0,1,1,474.9,0.0,0,172.26,1,0,1,1,0
0,47,1,1,0,0,0,0,1,1,0,0,0,1,1,7,69,1,1,1,1,0,16.0,1,0,0,0,0,0,2,5848.6,0.0,40,2685.48,0,0,0,1,1
0,68,0,0,0,0,0,0,1,1,0,0,1,0,0,0,66,1,1,1,1,0,20.0,0,0,1,1,1,1,3,6471.85,0.0,0,689.7,0,0,1,0,1
0,30,0,0,0,0,0,0,1,1,0,0,1,0,1,0,70,1,1,1,1,0,52.0,1,1,1,1,1,1,2,8127.6,0.0,0,714.7,1,0,1,0,1
1,62,0,0,0,0,0,0,1,1,0,0,1,1,0,0,25,1,1,0,1,0,21.0,0,0,0,0,0,1,2,676.35,0.0,0,139.25,1,0,0,1,1
0,52,1,2,0,0,0,0,1,1,0,0,1,1,1,1,46,1,0,0,1,0,21.0,0,0,0,0,0,1,3,864.2,0.0,0,1119.18,0,0,0,1,1
0,63,1,0,0,0,0,0,1,1,0,1,0,0,0,7,54,1,1,1,1,0,26.0,1,1,1,1,1,1,2,6049.5,0.0,0,615.6,0,0,1,0,1
0,54,0,0,0,0,0,0,0,0,1,0,0,1,1,0,15,1,0,1,1,0,7.0,1,1,1,1,1,1,1,1582.75,0.0,0,335.85,1,0,1,0,1
0,48,1,1,0,0,0,0,1,1,0,1,0,0,1,0,12,1,0,0,1,0,21.0,0,0,0,0,0,1,1,198.1,0.0,0,99.0,0,0,0,1,1
0,51,0,0,0,0,0,0,1,1,0,1,0,1,0,0,22,0,0,1,0,1,22.0,0,0,1,1,1,1,1,1098.85,0.0,0,0.0,0,0,1,0,1
0,22,1,0,0,0,0,0,1,1,0,1,0,1,1,9,70,0,0,1,0,1,85.0,1,1,1,1,1,1,3,4039.3,1.01,0,0.0,0,0,1,0,1
1,52,0,0,0,0,0,0,1,1,0,1,1,0,0,0,30,1,0,1,1,0,20.0,1,0,0,0,0,0,1,2438.6,0.0,130,741.9,0,0,0,1,1
1,22,1,1,0,0,0,0,1,1,0,1,1,0,1,1,71,1,1,1,1,0,59.0,0,0,1,1,1,1,2,7113.75,16.99,0,2012.14,0,0,1,0,1
1,33,1,0,0,0,0,0,1,1,0,1,1,1,0,2,30,1,0,0,1,0,21.0,0,0,0,0,0,1,2,576.65,0.0,0,294.3,0,0,0,1,1
1,26,1,0,0,0,0,0,0,1,0,0,1,1,1,5,4,1,1,1,1,0,19.0,1,0,0,0,1,1,1,371.9,0.0,0,115.08,1,0,1,1,1
1,58,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,1,0,1,1,0,28.0,1,0,0,1,1,1,1,167.3,0.0,0,28.28,1,0,0,1,0
1,22,0,1,0,0,0,0,1,1,1,0,0,0,0,0,10,1,0,0,1,0,21.0,0,0,0,0,0,1,2,219.5,0.0,0,78.6,0,0,0,1,1
1,66,0,0,0,0,0,0,1,1,1,0,0,0,1,0,4,1,0,1,1,0,29.0,0,0,0,0,0,1,2,273.4,0.0,0,145.6,0,0,0,1,1
1,69,0,0,0,0,0,0,1,1,1,0,0,1,0,0,52,0,0,1,1,1,19.0,0,0,1,1,1,1,3,2555.05,0.0,0,0.0,0,0,1,0,1
1,25,0,0,0,0,0,0,0,1,0,0,1,1,1,0,5,1,1,1,0,1,85.0,0,0,0,0,1,1,1,223.15,0.0,0,110.05,1,0,1,1,1
1,30,1,3,0,0,0,0,1,1,1,0,0,1,1,1,8,1,0,0,1,0,21.0,0,0,0,0,0,1,3,165.5,0.0,0,22.96,0,0,0,1,1
0,73,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,1,22.0,0,0,0,0,0,1,2,89.3,0.0,0,47.82,0,0,0,1,1
1,46,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,1,0,1,1,0,26.0,0,0,0,1,1,1,1,235.05,0.0,0,41.16,0,0,0,1,0
1,40,0,0,0,0,0,0,1,1,1,0,1,0,1,0,19,1,1,1,1,1,18.0,1,1,0,0,0,1,1,1144.6,0.0,0,225.15,0,0,0,1,1
1,53,0,0,0,0,0,0,1,1,1,0,1,1,0,0,72,1,1,1,1,1,13.0,1,1,0,0,0,1,3,4908.25,0.0,0,263.52,0,0,0,1,1
1,76,1,0,0,0,0,0,1,1,1,0,1,1,1,2,63,0,0,1,1,1,7.0,0,1,0,0,0,1,2,2298.9,0.0,0,0.0,0,0,0,1,1
1,38,1,0,0,0,0,0,1,1,1,1,0,0,0,1,66,0,0,1,1,1,29.0,1,1,1,0,0,1,3,3789.2,0.0,0,0.0,0,0,0,0,1
1,23,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,27.0,0,1,0,0,0,1,1,75.9,0.0,0,44.56,1,0,0,1,1
0,24,0,0,0,0,0,0,1,1,1,1,0,0,1,0,60,1,1,1,1,0,48.0,1,0,0,0,0,1,2,4765.0,0.0,0,917.4,0,0,0,1,1
0,43,1,3,0,0,0,0,1,1,1,1,0,1,0,3,48,0,0,1,1,1,22.0,1,0,0,1,1,1,2,2196.3,0.0,0,0.0,0,0,0,1,0
0,45,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,4.0,1,0,1,0,0,1,1,85.55,0.0,0,33.34,1,0,0,0,1
1,49,0,0,0,0,0,0,1,1,1,1,1,0,0,0,15,1,1,1,1,0,15.0,0,0,1,1,1,1,1,1444.65,0.0,0,733.95,1,0,1,0,1
0,62,1,0,0,0,0,0,1,1,1,1,1,0,1,4,50,1,1,1,1,0,13.0,0,1,1,1,1,1,1,5405.8,0.0,0,1728.5,0,0,1,0,1
1,25,1,1,0,0,0,0,1,1,1,1,1,1,0,10,72,1,1,1,0,1,30.0,1,1,1,1,1,1,3,6339.3,0.0,0,2430.0,0,0,1,0,1
0,37,0,0,0,0,0,0,1,1,1,1,1,1,1,0,46,1,1,1,1,0,21.0,0,0,0,0,0,0,1,3847.6,0.0,100,1990.42,0,0,0,1,1
0,35,1,1,0,0,0,1,0,0,0,0,0,0,0,4,72,1,1,1,1,1,19.0,1,1,1,1,1,1,3,6733.0,0.0,0,2160.0,0,0,1,0,1
1,37,1,3,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,1,0,21.0,0,0,0,0,0,1,1,19.7,0.0,0,34.28,0,0,0,1,1
0,19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,51.0,0,0,0,0,0,1,1,50.1,0.0,0,29.13,0,0,0,1,1
0,69,0,0,0,0,0,1,0,0,0,0,0,1,1,0,67,1,0,1,1,0,21.0,0,1,1,0,0,1,3,6140.85,0.0,0,172.19,0,0,0,0,1
0,44,1,1,0,0,0,0,0,1,0,0,0,0,0,5,48,1,1,1,1,1,27.0,0,1,1,1,1,1,3,3870.3,0.0,0,429.12,0,0,1,0,1
0,19,0,0,0,0,0,1,0,0,0,0,1,0,0,0,72,1,0,1,1,0,73.0,1,1,1,1,1,1,3,7624.2,0.0,0,3017.52,0,0,1,0,1
1,64,1,0,0,0,0,1,0,0,0,0,1,0,1,6,52,1,1,1,0,1,24.0,1,1,0,1,1,1,2,4354.45,0.0,0,2149.68,0,0,0,1,0
0,44,1,3,0,0,0,1,0,0,0,0,1,1,0,1,67,1,0,1,0,1,28.0,0,0,0,0,0,1,2,3431.75,0.0,0,3142.3,0,0,0,1,1
