Age,Number of Dependents,Number of Referrals,Tenure in Months,Avg Monthly GB Download,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Married,City,Phone Service,Multiple Lines,Internet Service,Internet Type,Device Protection Plan,Premium Tech Support,Unlimited Data,Contract,Customer Status,# Streaming Services
72.0,0.0,0.0,1.0,22.0,72.1,0.0,0.0,7.77,Female,No,San Marcos,Yes,Yes,Yes,Fiber Optic,No,No,Yes,One Year,Stayed,0
79.0,0.0,0.0,45.0,17.0,2791.5,0.0,0.0,480.15,Male,No,Daly City,Yes,No,Yes,DSL,Yes,No,Yes,One Year,Churned,1
67.0,0.0,0.0,1.0,9.0,25.1,0.0,0.0,0.0,Male,No,Morgan Hill,No,No,Yes,Cable,No,No,Yes,Month-to-Month,Churned,0
79.0,0.0,0.0,50.0,29.0,1306.3,0.0,0.0,1571.5,Female,Yes,Ahwahnee,Yes,Yes,No,None,No,No,No,One Year,Stayed,0
26.0,0.0,1.0,13.0,52.0,1215.6,0.0,0.0,566.28,Female,Yes,Carnelian Bay,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Churned,1
30.0,2.0,1.0,23.0,30.0,1849.95,0.0,0.0,802.93,Female,Yes,Alpaugh,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,1
22.0,0.0,0.0,3.0,24.2,57.2,0.0,0.0,9.36,Female,No,Keeler,Yes,No,No,None,No,No,No,Month-to-Month,Stayed,0
34.0,0.0,0.0,4.0,24.4,76.35,0.0,0.0,49.72,Female,Yes,Korbel,Yes,No,No,None,No,No,No,Month-to-Month,Churned,0
37.0,1.0,1.0,1.0,19.0,30.5,0.0,0.0,0.0,Female,Yes,Palomar Mountain,No,No,Yes,DSL,No,No,Yes,Month-to-Month,Churned,0
42.0,3.0,3.0,54.0,8.4,1090.6,0.0,0.0,1063.8,Male,Yes,Modesto,Yes,No,No,None,No,No,No,Two Year,Stayed,0
64.0,0.0,0.0,26.0,23.4,471.85,21.25,0.0,980.2,Male,No,Glen Ellen,Yes,No,No,None,No,No,No,One Year,Stayed,0
47.0,3.0,5.0,69.0,30.2,1396.9,0.0,0.0,2648.91,Female,Yes,Eureka,Yes,No,No,None,No,No,No,Two Year,Stayed,0
23.0,3.0,1.0,37.0,51.0,3247.55,0.0,0.0,1591.37,Male,Yes,Moss Beach,Yes,No,Yes,Fiber Optic,No,No,Yes,One Year,Stayed,3
48.0,0.0,5.0,49.0,23.4,900.9,0.0,0.0,2429.42,Female,Yes,Los Angeles,Yes,No,No,None,No,No,No,One Year,Stayed,0
28.0,0.0,0.0,67.0,26.8,1343.4,30.53,0.0,1549.04,Female,No,Calexico,Yes,No,No,None,No,No,No,One Year,Stayed,0
33.0,1.0,4.0,20.0,22.0,825.4,0.0,0.0,0.0,Male,Yes,Redding,No,No,Yes,Cable,Yes,Yes,Yes,Two Year,Stayed,0
31.0,3.0,0.0,43.0,14.0,1070.15,0.0,0.0,1317.52,Female,No,San Martin,Yes,Yes,No,None,No,No,No,Two Year,Stayed,0
37.0,0.0,2.0,55.0,9.0,4959.6,0.0,0.0,279.4,Female,Yes,Stockton,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,1
60.0,0.0,4.0,59.0,14.0,5597.65,0.0,0.0,967.01,Female,Yes,Los Angeles,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,1
48.0,3.0,3.0,12.0,28.8,224.5,0.0,0.0,231.36,Female,Yes,Huntington Park,Yes,No,No,None,No,No,No,Two Year,Stayed,0
60.0,3.0,7.0,27.0,23.0,1929.0,0.0,0.0,682.02,Male,Yes,Yermo,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,0
69.0,0.0,0.0,2.0,27.0,91.1,0.0,0.0,87.98,Male,No,San Diego,Yes,No,Yes,DSL,No,No,Yes,Month-to-Month,Churned,0
31.0,3.0,1.0,25.0,15.8,630.6,44.42,0.0,592.25,Male,Yes,Santa Rosa,Yes,Yes,No,None,No,No,No,Two Year,Stayed,0
46.0,0.0,5.0,25.0,19.0,1611.0,44.9,0.0,161.25,Male,Yes,San Jose,Yes,No,Yes,Cable,Yes,No,Yes,One Year,Stayed,0
57.0,1.0,0.0,29.0,21.0,1242.45,12.26,0.0,0.0,Male,No,Tujunga,No,No,Yes,DSL,Yes,Yes,Yes,Month-to-Month,Stayed,0
19.0,0.0,5.0,72.0,52.0,6316.2,0.0,0.0,2329.92,Male,Yes,Visalia,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two Year,Stayed,3
64.0,0.0,0.0,14.0,12.0,727.85,0.0,0.0,336.56,Female,No,Lodi,Yes,No,Yes,Cable,No,No,Yes,One Year,Stayed,0
38.0,0.0,0.0,35.0,2.0,3532.0,0.0,0.0,1274.7,Female,No,El Portal,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,One Year,Stayed,3
54.0,0.0,0.0,1.0,9.0,44.3,0.0,0.0,42.95,Male,No,Calistoga,Yes,No,Yes,DSL,No,No,Yes,Month-to-Month,Stayed,0
50.0,0.0,0.0,29.0,17.0,2607.6,0.0,20.0,59.45,Male,No,Farmington,Yes,No,Yes,Fiber Optic,No,Yes,No,Month-to-Month,Stayed,3
35.0,3.0,1.0,39.0,53.0,3767.4,0.0,0.0,950.82,Female,Yes,Coleville,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Month-to-Month,Stayed,3
72.0,0.0,0.0,40.0,23.0,3673.6,0.0,0.0,1765.6,Female,No,Ojai,Yes,No,Yes,Fiber Optic,No,No,Yes,Two Year,Stayed,2
51.0,0.0,0.0,40.0,15.0,4036.85,0.0,0.0,1507.6,Male,No,Desert Hot Springs,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Churned,3
78.0,1.0,0.0,11.0,29.0,1120.3,0.0,120.0,127.49,Female,No,North Hollywood,Yes,No,Yes,Fiber Optic,No,No,No,Month-to-Month,Churned,2
58.0,0.0,0.0,30.0,15.0,1888.45,0.0,0.0,79.2,Male,No,Santa Rosa,Yes,Yes,Yes,DSL,No,No,Yes,Month-to-Month,Stayed,2
26.0,0.0,0.0,27.0,16.8,529.8,0.0,0.0,557.82,Male,No,San Jose,Yes,No,No,None,No,No,No,Month-to-Month,Stayed,0
66.0,0.0,3.0,70.0,28.0,7308.95,6.11,0.0,2764.3,Male,Yes,Wilmington,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,One Year,Stayed,2
61.0,0.0,10.0,58.0,18.0,2878.55,10.23,0.0,1065.46,Male,Yes,San Diego,Yes,No,Yes,DSL,Yes,No,Yes,One Year,Stayed,0
24.0,0.0,0.0,16.0,48.0,1212.1,0.0,0.0,411.36,Male,No,Rancho Palos Verdes,Yes,Yes,Yes,DSL,Yes,No,Yes,Month-to-Month,Stayed,2
55.0,0.0,3.0,69.0,27.0,8182.85,0.0,0.0,2657.88,Female,Yes,Kenwood,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Two Year,Stayed,3
32.0,0.0,0.0,1.0,18.0,19.85,0.0,0.0,31.77,Male,No,West Point,Yes,No,No,None,No,No,No,Month-to-Month,Churned,0
59.0,0.0,0.0,1.0,25.0,99.75,0.0,0.0,40.71,Male,No,Los Angeles,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Churned,3
71.0,1.0,9.0,32.0,23.0,2861.45,0.0,0.0,1019.52,Male,Yes,Morongo Valley,Yes,No,Yes,Fiber Optic,No,No,Yes,One Year,Stayed,3
49.0,2.0,8.0,16.0,12.0,1442.2,0.0,0.0,779.36,Male,Yes,Palo Verde,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Stayed,1
61.0,0.0,1.0,49.0,10.0,4059.35,0.0,0.0,1937.95,Male,Yes,Valyermo,Yes,Yes,Yes,Cable,Yes,Yes,Yes,One Year,Churned,3
40.0,0.0,2.0,71.0,29.0,4145.9,0.0,0.0,0.0,Female,Yes,Cambria,No,No,Yes,Cable,Yes,Yes,Yes,Two Year,Stayed,3
39.0,0.0,0.0,33.0,12.0,3645.5,0.0,0.0,1639.77,Female,No,Round Mountain,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Stayed,3
21.0,0.0,9.0,10.0,21.6,187.75,0.0,0.0,496.0,Female,Yes,Klamath,Yes,No,No,None,No,No,No,Month-to-Month,Stayed,0
52.0,1.0,1.0,37.0,23.0,1448.8,0.0,0.0,0.0,Male,Yes,Angwin,No,No,Yes,DSL,Yes,No,Yes,Month-to-Month,Churned,0
71.0,0.0,0.0,26.0,7.0,2193.65,0.0,0.0,877.24,Female,No,Le Grand,Yes,No,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,1
45.0,0.0,0.0,50.0,7.0,1748.9,0.0,0.0,0.0,Male,No,Redway,No,No,Yes,DSL,No,Yes,Yes,One Year,Stayed,0
29.0,0.0,0.0,7.0,26.0,511.25,13.03,0.0,200.34,Female,No,San Diego,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Churned,1
42.0,0.0,0.0,15.0,12.0,1553.95,0.0,0.0,688.8,Male,No,Big Oak Flat,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Month-to-Month,Churned,3
51.0,2.0,0.0,26.0,19.0,1147.0,0.0,0.0,0.0,Female,No,Stevenson Ranch,No,No,Yes,DSL,No,Yes,Yes,Month-to-Month,Stayed,2
39.0,0.0,9.0,72.0,23.0,6747.35,0.0,0.0,2391.84,Male,Yes,North Highlands,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Stayed,3
64.0,0.0,1.0,44.0,7.6,865.05,0.0,0.0,1205.6,Male,Yes,La Puente,Yes,No,No,None,No,No,No,One Year,Stayed,0
40.0,0.0,0.0,2.0,16.0,181.65,0.0,0.0,73.62,Female,No,Alhambra,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Month-to-Month,Churned,0
76.0,0.0,0.0,44.0,17.0,3268.05,17.91,0.0,339.68,Female,No,Santa Monica,Yes,No,Yes,DSL,Yes,Yes,Yes,One Year,Stayed,3
57.0,0.0,0.0,12.0,6.0,1052.4,0.0,0.0,172.56,Female,No,Lodi,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Churned,1
71.0,0.0,1.0,69.0,17.0,7634.25,0.0,0.0,1270.29,Male,Yes,Los Angeles,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Two Year,Stayed,2
24.0,0.0,0.0,3.0,36.6,63.75,0.0,0.0,77.25,Female,No,Stockton,Yes,No,No,None,No,No,No,Month-to-Month,Churned,0
19.0,0.0,10.0,2.0,53.0,190.5,0.0,0.0,9.3,Female,Yes,Temecula,Yes,No,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,1
77.0,0.0,0.0,27.0,4.0,2401.05,0.0,0.0,80.19,Female,No,Fallbrook,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Two Year,Stayed,0
57.0,0.0,0.0,26.0,17.2,511.25,0.0,0.0,346.84,Male,No,Randsburg,Yes,No,No,None,No,No,No,Month-to-Month,Stayed,0
73.0,0.0,9.0,39.0,21.0,3949.15,0.0,0.0,785.85,Female,Yes,Atascadero,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Month-to-Month,Stayed,3
41.0,0.0,0.0,25.0,8.0,2362.1,0.0,0.0,872.0,Male,No,Planada,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Churned,3
43.0,0.0,0.0,1.0,23.0,70.9,0.0,0.0,39.81,Female,No,Moorpark,Yes,No,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Churned,0
48.0,0.0,1.0,22.0,21.0,1152.7,0.0,0.0,599.28,Male,Yes,Solvang,Yes,No,Yes,DSL,No,Yes,Yes,Month-to-Month,Churned,0
51.0,0.0,0.0,24.0,17.6,470.2,0.0,0.0,255.36,Female,No,La Mirada,Yes,No,No,None,No,No,No,Two Year,Stayed,0
34.0,0.0,8.0,19.0,16.0,1564.4,0.0,0.0,148.96,Female,Yes,Boron,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,1
21.0,2.0,2.0,71.0,23.2,1847.55,0.0,0.0,653.2,Male,Yes,San Marcos,Yes,Yes,No,None,No,No,No,Two Year,Stayed,0
78.0,0.0,7.0,33.0,20.0,3694.7,0.0,0.0,829.95,Male,Yes,Desert Center,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,One Year,Stayed,2
60.0,0.0,0.0,3.0,17.4,58.0,0.0,0.0,8.07,Female,No,Crows Landing,Yes,No,No,None,No,No,No,Month-to-Month,Stayed,0
54.0,1.0,7.0,47.0,13.0,4017.45,0.0,0.0,51.23,Male,Yes,Tuolumne,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,1
42.0,3.0,2.0,62.0,20.0,6825.65,0.0,0.0,109.12,Male,Yes,San Diego,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Two Year,Stayed,3
22.0,0.0,0.0,71.0,48.0,8309.55,0.0,0.0,204.48,Male,No,Auburn,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,One Year,Stayed,3
71.0,0.0,8.0,7.0,11.0,605.45,0.0,0.0,293.79,Male,Yes,Fresno,Yes,No,Yes,Fiber Optic,No,No,Yes,Two Year,Stayed,3
56.0,2.0,6.0,27.0,28.0,1972.35,0.0,0.0,1259.82,Female,Yes,Del Rey,Yes,No,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,0
33.0,0.0,0.0,2.0,17.0,33.7,0.0,0.0,3.62,Male,No,Redwood City,Yes,No,No,None,No,No,No,Month-to-Month,Stayed,0
80.0,0.0,0.0,30.0,5.0,2111.3,0.0,0.0,1158.3,Male,No,Hawthorne,Yes,No,Yes,DSL,No,No,Yes,One Year,Stayed,2
73.0,0.0,1.0,58.0,19.0,6205.5,0.0,0.0,982.52,Female,Yes,Oceano,Yes,No,Yes,Fiber Optic,No,Yes,Yes,One Year,Churned,3
59.0,0.0,0.0,9.0,28.0,633.85,0.0,0.0,83.43,Female,No,Clarksburg,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,0
78.0,0.0,1.0,6.0,17.0,474.9,0.0,0.0,172.26,Female,Yes,Irvine,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Churned,1
47.0,1.0,7.0,69.0,16.0,5848.6,0.0,40.0,2685.48,Female,Yes,Scotts Valley,Yes,Yes,Yes,Fiber Optic,Yes,No,No,One Year,Stayed,0
68.0,0.0,0.0,66.0,20.0,6471.85,0.0,0.0,689.7,Female,No,Salida,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Two Year,Stayed,3
30.0,0.0,0.0,70.0,52.0,8127.6,0.0,0.0,714.7,Female,No,Mckinleyville,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,One Year,Churned,3
62.0,0.0,0.0,25.0,15.6,676.35,0.0,0.0,139.25,Male,No,Atherton,Yes,Yes,No,None,No,No,No,One Year,Churned,0
52.0,2.0,1.0,46.0,9.4,864.2,0.0,0.0,1119.18,Female,Yes,Huntington Beach,Yes,No,No,None,No,No,No,Two Year,Stayed,0
63.0,0.0,7.0,54.0,26.0,6049.5,0.0,0.0,615.6,Female,Yes,Calimesa,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,One Year,Stayed,3
54.0,0.0,0.0,15.0,7.0,1582.75,0.0,0.0,335.85,Female,No,Daly City,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Month-to-Month,Churned,3
48.0,1.0,0.0,12.0,18.2,198.1,0.0,0.0,99.0,Female,Yes,Middletown,Yes,No,No,None,No,No,No,Month-to-Month,Stayed,0
51.0,0.0,0.0,22.0,22.0,1098.85,0.0,0.0,0.0,Female,No,Berkeley,No,No,Yes,Cable,No,No,Yes,Month-to-Month,Stayed,3
52.0,0.0,0.0,30.0,20.0,2438.6,0.0,130.0,741.9,Male,No,Garden Grove,Yes,No,Yes,Fiber Optic,Yes,No,No,Month-to-Month,Stayed,0
33.0,0.0,2.0,30.0,17.2,576.65,0.0,0.0,294.3,Male,Yes,Oxnard,Yes,No,No,None,No,No,No,One Year,Stayed,0
26.0,0.0,5.0,4.0,19.0,371.9,0.0,0.0,115.08,Male,Yes,San Diego,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Churned,1
58.0,0.0,0.0,2.0,28.0,167.3,0.0,0.0,28.28,Male,No,Escondido,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Churned,2
22.0,1.0,0.0,10.0,23.2,219.5,0.0,0.0,78.6,Male,No,Moreno Valley,Yes,No,No,None,No,No,No,One Year,Stayed,0
66.0,0.0,0.0,4.0,29.0,273.4,0.0,0.0,145.6,Male,No,Chino,Yes,No,Yes,Fiber Optic,No,No,Yes,One Year,Stayed,0
69.0,0.0,0.0,52.0,19.0,2555.05,0.0,0.0,0.0,Male,No,Sacramento,No,No,Yes,DSL,No,No,Yes,Two Year,Stayed,3
30.0,3.0,1.0,8.0,24.0,165.5,0.0,0.0,22.96,Male,Yes,Turlock,Yes,No,No,None,No,No,No,Two Year,Stayed,0
73.0,0.0,0.0,2.0,22.0,89.3,0.0,0.0,47.82,Female,No,Calexico,Yes,No,Yes,Cable,No,No,Yes,One Year,Stayed,0
46.0,0.0,0.0,3.0,26.0,235.05,0.0,0.0,41.16,Male,No,Groveland,Yes,No,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,2
40.0,0.0,0.0,19.0,18.0,1144.6,0.0,0.0,225.15,Male,No,Los Gatos,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-Month,Stayed,0
53.0,0.0,0.0,72.0,13.0,4908.25,0.0,0.0,263.52,Male,No,Clovis,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two Year,Stayed,0
76.0,0.0,2.0,63.0,7.0,2298.9,0.0,0.0,0.0,Male,Yes,Hyampom,No,No,Yes,DSL,No,Yes,Yes,One Year,Stayed,0
38.0,0.0,1.0,66.0,29.0,3789.2,0.0,0.0,0.0,Male,Yes,Woodland Hills,No,No,Yes,DSL,Yes,Yes,Yes,Two Year,Stayed,1
23.0,0.0,0.0,1.0,27.0,75.9,0.0,0.0,44.56,Male,No,Temecula,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Month-to-Month,Churned,0
24.0,0.0,0.0,60.0,48.0,4765.0,0.0,0.0,917.4,Female,No,Livingston,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,One Year,Stayed,0
43.0,3.0,3.0,48.0,22.0,2196.3,0.0,0.0,0.0,Female,Yes,Tulare,No,No,Yes,DSL,Yes,No,Yes,One Year,Stayed,2
45.0,0.0,0.0,1.0,4.0,85.55,0.0,0.0,33.34,Female,No,Buellton,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Churned,1
49.0,0.0,0.0,15.0,15.0,1444.65,0.0,0.0,733.95,Male,No,Palmdale,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Churned,3
62.0,0.0,4.0,50.0,13.0,5405.8,0.0,0.0,1728.5,Female,Yes,Midway City,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Month-to-Month,Stayed,3
25.0,1.0,10.0,72.0,30.0,6339.3,0.0,0.0,2430.0,Male,Yes,Folsom,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Two Year,Stayed,3
37.0,0.0,0.0,46.0,21.0,3847.6,0.0,100.0,1990.42,Female,No,Oakland,Yes,Yes,Yes,Fiber Optic,No,No,No,Month-to-Month,Stayed,0
35.0,1.0,4.0,72.0,19.0,6733.0,0.0,0.0,2160.0,Female,Yes,San Anselmo,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two Year,Stayed,3
37.0,3.0,2.0,1.0,14.2,19.7,0.0,0.0,34.28,Male,Yes,Duarte,Yes,No,No,None,No,No,No,Month-to-Month,Stayed,0
19.0,0.0,0.0,1.0,51.0,50.1,0.0,0.0,29.13,Female,No,Lake Elsinore,Yes,Yes,Yes,Cable,No,No,Yes,Month-to-Month,Stayed,0
69.0,0.0,0.0,67.0,21.0,6140.85,0.0,0.0,172.19,Female,No,San Clemente,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Two Year,Stayed,1
44.0,1.0,5.0,48.0,27.0,3870.3,0.0,0.0,429.12,Female,Yes,Los Angeles,Yes,Yes,Yes,DSL,No,Yes,Yes,Two Year,Stayed,3
64.0,0.0,6.0,52.0,24.0,4354.45,0.0,0.0,2149.68,Male,Yes,Bodega Bay,Yes,Yes,Yes,Cable,Yes,Yes,Yes,One Year,Stayed,2
58.0,0.0,1.0,28.0,13.0,2227.1,0.0,0.0,471.8,Female,Yes,Ludlow,Yes,No,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Churned,2
29.0,1.0,9.0,32.0,51.0,2045.55,0.0,0.0,1064.96,Female,Yes,Santa Clara,Yes,Yes,Yes,DSL,Yes,No,Yes,Month-to-Month,Stayed,1
80.0,0.0,2.0,27.0,25.0,1929.35,0.0,0.0,189.54,Female,Yes,Perris,Yes,No,Yes,Cable,No,No,Yes,Month-to-Month,Churned,0
22.0,0.0,0.0,2.0,27.0,181.5,0.0,0.0,80.86,Male,No,San Diego,Yes,Yes,Yes,Cable,No,No,Yes,Month-to-Month,Churned,2
50.0,2.0,0.0,9.0,11.0,651.4,0.0,0.0,319.41,Female,No,San Dimas,Yes,No,Yes,Cable,Yes,Yes,Yes,Month-to-Month,Churned,3
53.0,2.0,10.0,50.0,28.0,3486.65,0.0,0.0,2224.5,Male,Yes,Rescue,Yes,Yes,Yes,Cable,No,Yes,Yes,Two Year,Stayed,1
45.0,2.0,1.0,71.0,24.2,1389.6,0.0,0.0,2203.13,Female,Yes,Clio,Yes,No,No,None,No,No,No,Two Year,Stayed,0
76.0,0.0,2.0,32.0,10.0,2303.35,0.0,0.0,1514.88,Male,Yes,San Diego,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Churned,0
45.0,3.0,8.0,67.0,22.0,6717.9,0.0,0.0,1191.93,Female,Yes,San Marcos,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Two Year,Stayed,3
43.0,1.0,1.0,72.0,13.0,8058.55,0.0,0.0,1147.68,Male,Yes,Lompoc,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Two Year,Stayed,3
41.0,0.0,0.0,3.0,20.2,58.85,0.0,0.0,73.89,Female,No,Pilot Hill,Yes,No,No,None,No,No,No,Month-to-Month,Churned,0
22.0,3.0,1.0,23.0,15.6,538.5,0.0,0.0,1104.46,Male,Yes,San Francisco,Yes,Yes,No,None,No,No,No,One Year,Stayed,0
62.0,2.0,1.0,72.0,18.0,5102.35,25.24,0.0,2042.64,Male,Yes,Mission Hills,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two Year,Stayed,0
21.0,2.0,9.0,7.0,47.0,465.7,0.0,0.0,0.0,Male,Yes,Los Angeles,No,No,Yes,Cable,Yes,No,Yes,Month-to-Month,Stayed,3
33.0,4.0,9.0,66.0,23.0,3364.55,0.0,110.0,0.0,Male,Yes,San Francisco,No,No,Yes,Cable,No,Yes,No,Two Year,Stayed,3
30.0,0.0,0.0,5.0,36.0,113.85,0.0,0.0,171.3,Male,No,Inglewood,Yes,No,No,None,No,No,No,Month-to-Month,Churned,0
38.0,1.0,0.0,49.0,11.0,5036.3,0.0,0.0,2172.17,Male,No,Los Angeles,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Churned,3
56.0,0.0,2.0,63.0,24.2,1234.8,0.0,0.0,2416.68,Male,Yes,Pescadero,Yes,No,No,None,No,No,No,Two Year,Stayed,0
70.0,1.0,1.0,12.0,14.0,355.9,0.0,0.0,0.0,Female,Yes,Aromas,No,No,Yes,DSL,No,Yes,Yes,Month-to-Month,Stayed,0
54.0,6.0,5.0,27.0,53.0,1510.3,0.0,0.0,977.13,Male,Yes,Badger,Yes,No,Yes,DSL,No,No,Yes,Month-to-Month,Stayed,0
57.0,0.0,0.0,35.0,20.0,1982.6,0.0,0.0,1568.35,Female,No,Parlier,Yes,No,Yes,DSL,Yes,No,Yes,Month-to-Month,Stayed,0
40.0,2.0,7.0,54.0,12.0,4524.05,0.0,0.0,233.82,Female,Yes,Death Valley,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-Month,Stayed,3
56.0,0.0,0.0,1.0,2.0,95.45,0.0,0.0,5.59,Male,No,La Puente,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Churned,3
